"Localidades";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"Cód. IBGE"
"Belém";"2017";"4059";"3159";"2474";"2565";"2760";"3520";"4467";"4435";"3718";"3081";"2913";"2709";"2392";"1872";"1355";"2651";
"Belém";"2018";"3951";"3500";"2511";"2530";"2752";"3265";"4319";"4533";"3873";"3174";"2889";"2760";"2421";"1966";"1408";"2638";
"Bom Retiro";"2014";"2851";"2157";"2162";"2360";"2704";"3614";"3648";"3189";"2517";"2270";"2031";"1774";"1461";"1053";"825";"1549";
"Bom Retiro";"2015";"3055";"2172";"2141";"2371";"2545";"3600";"3724";"3369";"2565";"2316";"2074";"1816";"1542";"1095";"807";"1579";
"Bom Retiro";"2016";"3004";"2333";"2158";"2350";"2549";"3399";"3708";"3444";"2714";"2367";"2121";"1859";"1584";"1160";"843";"1591";
"Bom Retiro";"2017";"2949";"2503";"2173";"2324";"2550";"3201";"3692";"3520";"2869";"2417";"2166";"1902";"1626";"1229";"880";"1601";
"Bom Retiro";"2018";"2893";"2682";"2186";"2297";"2547";"3011";"3672";"3592";"3028";"2466";"2209";"1944";"1667";"1300";"919";"1611";
"Brás";"2014";"2667";"1702";"1785";"1967";"2307";"3189";"3264";"2860";"2375";"2014";"1778";"1555";"1178";"856";"583";"873";
"Brás";"2015";"2971";"1681";"1747";"1944";"2143";"3141";"3322";"2947";"2437";"2048";"1792";"1618";"1226";"898";"608";"875";
"Brás";"2016";"2891";"1886";"1737";"1917";"2132";"2947";"3299";"3018";"2530";"2117";"1835";"1642";"1286";"942";"643";"901";
"Brás";"2017";"2806";"2114";"1725";"1886";"2117";"2762";"3265";"3088";"2621";"2185";"1877";"1665";"1344";"987";"680";"927";
"Brás";"2018";"2722";"2366";"1708";"1853";"2100";"2583";"3228";"3154";"2711";"2250";"1915";"1684";"1403";"1032";"717";"952";
"Brasilândia";"2014";"23250";"19534";"22182";"24822";"23668";"24646";"23831";"21385";"19131";"17422";"14545";"11946";"9028";"6540";"4298";"5533";
"Brasilândia";"2015";"24167";"18890";"21355";"25194";"23312";"24483";"24074";"21637";"19154";"17791";"14812";"12367";"9332";"6902";"4392";"5649";
"Brasilândia";"2016";"23926";"19736";"20710";"24339";"23768";"24284";"24014";"21923";"19451";"17873";"15197";"12645";"9702";"7164";"4661";"5805";
"Brasilândia";"2017";"23675";"20604";"20074";"23500";"24220";"24058";"23944";"22199";"19741";"17947";"15582";"12921";"10085";"7432";"4945";"5962";
"Brasilândia";"2018";"23418";"21493";"19445";"22679";"24654";"23810";"23863";"22475";"20025";"18013";"15965";"13196";"10474";"7708";"5243";"6120";
"Butantã";"2014";"2755";"2306";"2353";"2620";"3312";"4926";"5522";"4778";"3943";"3633";"3596";"3409";"3075";"2494";"1924";"3524";
"Butantã";"2015";"2864";"2293";"2304";"2546";"3032";"4740";"5630";"4953";"3994";"3603";"3593";"3422";"3142";"2582";"1917";"3547";
"Butantã";"2016";"2811";"2394";"2301";"2506";"2960";"4374";"5442";"5071";"4159";"3666";"3580";"3436";"3169";"2652";"1996";"3583";
"Butantã";"2017";"2754";"2500";"2294";"2465";"2886";"4031";"5254";"5187";"4323";"3725";"3566";"3445";"3192";"2721";"2077";"3615";
"Butantã";"2018";"2697";"2606";"2285";"2421";"2812";"3710";"5064";"5305";"4492";"3782";"3545";"3450";"3212";"2787";"2158";"3644";
"Cachoeirinha";"2014";"11487";"9851";"10727";"11974";"12067";"13002";"13046";"11743";"10174";"9388";"8380";"7178";"5368";"3856";"2570";"3605";
"Cachoeirinha";"2015";"11824";"9593";"10336";"11964";"11765";"12768";"13107";"11945";"10164";"9437";"8426";"7434";"5555";"4056";"2603";"3641";
"Cachoeirinha";"2016";"11617";"9936";"10105";"11581";"11829";"12554";"12948";"12056";"10390";"9469";"8514";"7508";"5783";"4220";"2757";"3710";
"Cachoeirinha";"2017";"11411";"10285";"9876";"11209";"11888";"12333";"12778";"12161";"10617";"9498";"8596";"7583";"6017";"4386";"2919";"3777";
"Cachoeirinha";"2018";"11204";"10638";"9646";"10841";"11940";"12102";"12610";"12261";"10845";"9522";"8677";"7654";"6259";"4557";"3088";"3844";
"Cambuci";"2014";"2493";"2114";"2063";"2200";"2413";"3146";"3573";"3494";"3062";"2647";"2477";"2276";"1864";"1430";"1153";"2269";
"Cambuci";"2015";"2598";"2145";"2059";"2239";"2313";"3072";"3585";"3591";"3169";"2682";"2499";"2344";"1947";"1470";"1152";"2269";
"Cambuci";"2016";"2558";"2235";"2087";"2230";"2343";"2947";"3495";"3601";"3255";"2776";"2534";"2367";"2007";"1537";"1186";"2280";
"Cambuci";"2017";"2515";"2331";"2116";"2220";"2372";"2825";"3402";"3609";"3341";"2872";"2568";"2389";"2068";"1606";"1222";"2287";
"Cambuci";"2018";"2473";"2427";"2144";"2209";"2399";"2704";"3310";"3614";"3429";"2969";"2601";"2410";"2129";"1678";"1258";"2295";
"Campo Belo";"2014";"3513";"3063";"3002";"3123";"3490";"4799";"5588";"5633";"5071";"4549";"4542";"4289";"3874";"3179";"2615";"4687";
"Campo Belo";"2015";"3602";"3062";"2966";"3104";"3249";"4598";"5512";"5689";"5166";"4495";"4540";"4299";"3960";"3235";"2629";"4721";
"Campo Belo";"2016";"3505";"3153";"2973";"3080";"3240";"4308";"5299";"5628";"5237";"4596";"4503";"4313";"3986";"3322";"2686";"4783";
"Campo Belo";"2017";"3411";"3242";"2980";"3053";"3230";"4033";"5092";"5565";"5305";"4694";"4463";"4325";"4010";"3407";"2745";"4842";
"Campo Belo";"2018";"3315";"3332";"2985";"3024";"3217";"3770";"4889";"5499";"5373";"4795";"4418";"4335";"4030";"3496";"2802";"4900";
"Campo Grande";"2014";"6022";"5712";"5934";"6697";"6974";"7836";"8843";"9163";"8409";"8093";"7487";"6445";"5114";"3842";"2797";"4153";
"Campo Grande";"2015";"6099";"5700";"5783";"6728";"6834";"7607";"8714";"9317";"8446";"8170";"7650";"6683";"5340";"4029";"2877";"4269";
"Campo Grande";"2016";"5986";"5787";"5778";"6567";"6870";"7476";"8471";"9194";"8610";"8216";"7741";"6843";"5549";"4219";"3026";"4409";
"Campo Grande";"2017";"5872";"5870";"5771";"6405";"6906";"7340";"8233";"9067";"8772";"8261";"7828";"7002";"5762";"4412";"3184";"4553";
"Campo Grande";"2018";"5758";"5949";"5761";"6246";"6935";"7200";"7998";"8925";"8946";"8301";"7911";"7161";"5982";"4615";"3347";"4699";
"Campo Limpo";"2014";"16553";"15215";"16151";"18094";"17719";"20128";"20875";"19590";"16893";"14274";"11973";"10277";"7798";"5435";"3485";"4298";
"Campo Limpo";"2015";"16823";"15019";"15609";"18425";"17242";"19806";"20921";"20004";"17306";"14671";"12134";"10669";"8178";"5804";"3607";"4451";
"Campo Limpo";"2016";"16644";"15318";"15448";"17858";"17615";"19393";"20664";"20090";"17719";"15070";"12513";"10843";"8516";"6107";"3871";"4632";
"Campo Limpo";"2017";"16463";"15614";"15284";"17302";"17988";"18971";"20377";"20166";"18135";"15472";"12898";"11015";"8864";"6424";"4151";"4816";
"Campo Limpo";"2018";"16273";"15903";"15109";"16753";"18358";"18535";"20102";"20230";"18550";"15876";"13285";"11182";"9222";"6753";"4448";"5006";
"Cangaiba";"2014";"9635";"8184";"9118";"10623";"10933";"12311";"11984";"10815";"9945";"9439";"8769";"7496";"5868";"4378";"3165";"4398";
"Cangaiba";"2015";"9967";"7956";"8714";"10615";"10558";"12186";"12098";"10877";"9915";"9407";"8868";"7706";"6064";"4522";"3252";"4451";
"Cangaiba";"2016";"9809";"8277";"8502";"10184";"10610";"11858";"12051";"11022";"10011";"9416";"8880";"7827";"6261";"4698";"3378";"4568";
"Cangaiba";"2017";"9650";"8604";"8292";"9767";"10656";"11526";"11997";"11165";"10104";"9420";"8886";"7946";"6462";"4878";"3507";"4687";
"Cangaiba";"2018";"9489";"8938";"8080";"9363";"10696";"11191";"11938";"11305";"10192";"9421";"8888";"8061";"6667";"5063";"3640";"4805";
"Capão Redondo";"2014";"22335";"19769";"21811";"24221";"23831";"26354";"26357";"23932";"20801";"18051";"14875";"12496";"9724";"6758";"4216";"4467";
"Capão Redondo";"2015";"22971";"19321";"21141";"24612";"23315";"26124";"26641";"24435";"21151";"18604";"15177";"12881";"10201";"7211";"4491";"4647";
"Capão Redondo";"2016";"22793";"19955";"20720";"23937";"23783";"25731";"26500";"24758";"21662";"18974";"15699";"13187";"10553";"7592";"4815";"4921";
"Capão Redondo";"2017";"22603";"20591";"20295";"23267";"24246";"25320";"26359";"25068";"22174";"19341";"16229";"13491";"10912";"7991";"5159";"5206";
"Capão Redondo";"2018";"22405";"21234";"19868";"22608";"24704";"24885";"26195";"25379";"22685";"19704";"16768";"13794";"11278";"8406";"5522";"5508";
"Carrão";"2014";"4419";"4063";"4499";"5245";"5700";"6576";"6883";"6692";"6190";"5984";"6095";"5432";"4591";"3739";"2865";"5228";
"Carrão";"2015";"4528";"4000";"4361";"5235";"5532";"6487";"6891";"6796";"6244";"5903";"6186";"5565";"4698";"3886";"2859";"5264";
"Carrão";"2016";"4460";"4107";"4295";"5079";"5518";"6309";"6798";"6810";"6344";"5959";"6115";"5656";"4820";"3982";"2979";"5305";
"Carrão";"2017";"4392";"4211";"4228";"4924";"5502";"6133";"6710";"6829";"6443";"6014";"6038";"5746";"4941";"4080";"3103";"5344";
