Localidades,SIGLA_DIST,Periodos,p0a4,0a4,p5a9,p5a9,p10a14,10a14,p15a19,15a19,p20a24,20a24,p25a29,25a29,p30a34,30a34,p35a39,35a39,p40a44,40a44,p45a49,45a49,p50a54,50a54,p55a59,55a59,p60a64,60a64,p65a69,65a69,p70a74,70a74,p75a79,75a79,cod ibge
Cidade Ademar,CAD,2018,"2,68",21195,"2,64",20034,"2,57",18184,"2,55",20321,"2,55",22591,"2,55",23659,"2,5",25286,"2,43",24508,"2,41",22132,"2,35",19167,"2,24",16530,"2,13",14075,"2,11",11802,"2,08",9007,"2,04",6297,"1,72",7436,
Cidade Dutra,CDU,2018,"1,77",13988,"1,77",13390,"1,78",12595,"1,83",14586,"1,83",16246,"1,79",16592,"1,72",17386,"1,67",16891,"1,69",15510,"1,71",13926,"1,7",12555,"1,66",10980,"1,65",9264,"1,64",7127,"1,6",4950,"1,27",5476,
Cidade Lider,CLD,2018,"1,15",9095,"1,16",8783,"1,19",8418,"1,2",9594,"1,21",10725,"1,2",11154,"1,16",11707,"1,14",11510,"1,14",10468,"1,13",9231,"1,11",8190,"1,1",7271,"1,1",6180,"1,09",4727,"1,04",3219,"0,77",3334,
Cidade Tiradentes,CTI,2018,"2,28",18020,"2,28",17258,"2,48",17537,"2,57",20464,"2,48",21995,"2,24",20785,"1,98",20006,"1,87",18915,"1,82",16693,"1,76",14362,"1,68",12394,"1,62",10706,"1,56",8745,"1,4",6056,"1,15",3557,"0,72",3117,
Consolacao,CON,2018,"0,29",2318,"0,26",1995,"0,23",1661,"0,23",1796,"0,28",2448,"0,48",4414,"0,66",6696,"0,59",5999,"0,51",4668,"0,47",3833,"0,51",3740,"0,59",3910,"0,64",3612,"0,72",3126,"0,81",2497,"1,09",4724,
Cursino,CUR,2018,"0,82",6479,"0,85",6450,"0,83",5864,"0,78",6221,"0,78",6938,"0,84",7826,"0,91",9199,"0,96",9746,"0,97",8874,"0,97",7877,"1,03",7622,"1,14",7520,"1,2",6728,"1,22",5275,"1,24",3840,"1,51",6504,
Ermelino Matarazzo,ERM,2018,"1,04",8234,"1,06",8024,"1,07",7605,"1,07",8501,"1,06",9452,"1,05",9782,"1,02",10348,"0,98",9910,"0,98",8982,1,8150,1,7344,"0,96",6334,"0,95",5314,"0,92",3999,"0,86",2642,"0,74",3200,
Freguesia do o,FRE,2018,"1,11",8788,"1,1",8311,"1,05",7447,"1,08",8637,"1,12",9944,"1,14",10571,"1,17",11821,"1,18",11923,"1,17",10746,"1,18",9640,"1,26",9309,"1,37",9041,"1,41",7903,"1,38",5984,"1,36",4206,"1,46",6290,
Grajau,GRA,2018,"3,93",31001,"3,85",29224,"3,89",27513,"4,01",31955,"3,96",35152,"3,65",33912,"3,31",33514,"3,14",31766,"3,12",28593,"3,16",25717,"3,04",22403,"2,74",18069,"2,5",13990,"2,27",9824,"1,97",6081,"1,27",5489,
Guaianases,GUA,2018,"1,09",8614,"1,06",8060,"1,07",7590,"1,1",8798,"1,1",9747,"1,03",9576,"0,92",9286,"0,87",8766,"0,86",7910,"0,87",7076,"0,84",6231,"0,79",5231,"0,76",4279,"0,72",3114,"0,65",2007,"0,5",2164,
Iguatemi,IGU,2018,"1,51",11913,"1,45",11022,"1,48",10506,"1,55",12337,"1,54",13626,"1,41",13068,"1,23",12409,"1,13",11441,"1,12",10292,"1,18",9604,"1,17",8612,"1,06",6989,"0,96",5360,"0,86",3718,"0,74",2292,"0,49",2128,
Ipiranga,IPI,2018,"0,81",6397,"0,83",6293,"0,81",5742,"0,78",6248,"0,8",7065,"0,85",7888,"0,9",9154,"0,95",9628,"0,97",8942,"0,99",8082,"1,02",7512,"1,07",7050,"1,1",6173,"1,14",4931,"1,19",3658,"1,51",6502,
Itaim Bibi,IBI,2018,"0,62",4874,"0,64",4871,"0,55",3890,"0,43",3455,"0,44",3916,"0,57",5281,"0,77",7751,"0,99",9967,"1,03",9467,"0,92",7495,"0,87",6455,"0,97",6393,"1,09",6097,"1,23",5344,"1,34",4124,"1,66",7181,
Itaim Paulista,IPA,2018,"2,24",17668,"2,23",16882,"2,3",16253,"2,38",18950,"2,4",21319,"2,23",20734,"1,98",20041,"1,84",18568,"1,81",16616,"1,88",15286,"1,88",13894,"1,77",11667,"1,65",9224,"1,52",6588,"1,41",4355,"1,06",4575,
Itaquera,ITQ,2018,"1,9",14970,"1,91",14462,"1,93",13690,"1,98",15762,"1,97",17497,"1,85",17137,"1,73",17499,"1,71",17245,"1,77",16270,"1,82",14808,"1,77",13059,"1,67",11042,"1,63",9147,"1,61",6982,"1,58",4884,"1,32",5704,
Jabaquara,JAB,2018,"1,83",14455,"1,87",14190,"1,83",12972,"1,78",14227,"1,8",15993,"1,85",17129,"1,94",19584,"2,01",20267,"2,02",18494,"1,99",16202,"2,04",15060,"2,06",13634,"2,05",11472,"2,02",8743,"2,06",6343,"2,2",9516,
Jacana,JAC,2018,"0,76",5992,"0,79",6018,"0,86",6111,"0,87",6926,"0,85",7562,"0,83",7698,"0,82",8270,"0,81",8170,"0,8",7305,"0,77",6287,"0,77",5712,"0,8",5316,"0,83",4629,"0,83",3595,"0,83",2572,"0,85",3649,
Jaguara,JAG,2018,"0,18",1382,"0,18",1342,"0,17",1235,"0,18",1395,"0,17",1545,"0,18",1709,"0,2",2020,"0,2",2070,"0,2",1866,"0,2",1643,"0,21",1575,"0,24",1558,"0,25",1423,"0,27",1173,"0,28",878,"0,31",1317,
Jaguare,JRE,2018,"0,45",3540,"0,46",3510,"0,47",3329,"0,46",3642,"0,44",3935,"0,45",4174,"0,47",4789,"0,5",5100,"0,5",4591,"0,47",3854,"0,45",3307,"0,43",2829,"0,41",2299,"0,43",1848,"0,46",1411,"0,47",2045,
Jaragua,JAR,2018,"1,98",15644,"1,95",14761,"2,01",14203,"2,12",16878,"2,08",18474,"1,91",17720,"1,75",17732,"1,71",17304,"1,73",15876,"1,74",14131,"1,69",12464,"1,61",10639,"1,5",8406,"1,35",5860,"1,21",3745,"0,88",3803,
Jardim Angela,JDA,2018,"3,37",26633,"3,42",25965,"3,55",25097,"3,53",28132,"3,37",29910,"3,05",28276,"2,82",28531,"2,77",28014,"2,79",25605,"2,77",22543,"2,49",18371,"2,15",14186,"1,99",11154,"1,82",7876,"1,59",4903,"1,09",4697,
Jd Helena,JDH,2018,"1,43",11278,"1,37",10405,"1,33",9401,"1,36",10863,"1,38",12206,"1,27",11815,"1,14",11550,"1,07",10821,"1,06",9710,"1,08",8771,"1,05",7719,"0,96",6363,"0,91",5101,"0,87",3763,"0,83",2554,"0,65",2789,
Jd Paulista,JDP,2018,"0,53",4183,"0,52",3931,"0,45",3154,"0,38",3048,"0,4",3542,"0,54",5014,"0,78",7885,"0,94",9464,"0,9",8251,"0,81",6589,"0,82",6077,"0,93",6118,"1,06",5926,"1,22",5310,"1,39",4295,"1,78",7668,
Jd Sao Luis,JDS,2018,"2,7",21335,"2,68",20320,"2,68",18949,"2,71",21626,"2,67",23699,"2,62",24308,"2,59",26228,"2,55",25715,"2,52",23086,"2,47",20112,"2,32",17153,"2,16",14271,"2,08",11626,"1,98",8591,"1,83",5654,"1,41",6075,
Jose Bonifacio,JBO,2018,"1,06",8358,"1,13",8599,"1,28",9041,"1,28",10236,"1,24",10965,"1,14",10572,"1,12",11301,"1,2",12127,"1,21",11096,"1,13",9169,"1,06",7813,"1,04",6849,"1,12",6298,"1,2",5221,"1,09",3375,"0,78",3349,3525706
Lajeado,LAJ,2018,"1,76",13894,"1,73",13143,"1,75",12393,"1,8",14345,"1,83",16255,"1,69",15674,"1,48",14951,"1,34",13574,"1,35",12393,"1,39",11347,"1,31",9704,"1,21",7985,"1,14",6361,"1,04",4491,"0,94",2886,"0,7",3006,
Lapa,LAP,2018,"0,42",3285,"0,44",3322,"0,42",2996,"0,38",3067,"0,39",3428,"0,44",4077,"0,5",5099,"0,57",5762,"0,6",5519,"0,61",4931,"0,65",4813,"0,72",4774,"0,77",4294,"0,82",3549,"0,9",2779,"1,24",5368,
Liberdade,LIB,2018,"0,5",3985,"0,5",3782,"0,43",3073,"0,39",3128,"0,42",3712,"0,54",5004,"0,68",6843,"0,73",7378,"0,7",6422,"0,66",5359,"0,64",4722,"0,68",4474,"0,74",4122,"0,8",3456,"0,84",2598,"0,96",4148,
Limao,LIM,2018,"0,71",5618,"0,69",5219,"0,63",4491,"0,63",4993,"0,63",5585,"0,66",6125,"0,68",6835,"0,66",6701,"0,66",6062,"0,65",5310,"0,66",4874,"0,7",4605,"0,74",4151,"0,76",3295,"0,75",2321,"0,78",3382,
Mandaqui,MAN,2018,"0,78",6178,"0,79",6008,"0,8",5637,"0,82",6498,"0,85",7555,"0,88",8162,"0,88",8887,"0,88",8909,"0,94",8595,"1,01",8188,"1,06",7850,"1,1",7280,"1,08",6041,"1,08",4664,"1,14",3505,"1,18",5074,
Marsilac,MAR,2018,"0,07",528,"0,07",533,"0,09",607,"0,1",758,"0,1",859,"0,08",751,"0,07",661,"0,06",583,"0,06",528,"0,06",491,"0,07",513,"0,07",467,"0,07",392,"0,07",284,"0,06",192,"0,05",223,
Moema,MOE,2018,"0,5",3931,"0,54",4078,"0,52",3674,"0,45",3556,"0,45",4028,"0,53",4951,"0,66",6655,"0,81",8214,"0,89",8197,"0,86",6998,"0,86",6369,"0,97",6412,"1,08",6068,"1,22",5273,"1,25",3855,"1,45",6256,
Mooca,MOO,2018,"0,55",4371,"0,56",4267,"0,52",3710,"0,49",3873,"0,51",4552,"0,59",5477,"0,63",6420,"0,67",6763,"0,7",6451,"0,73",5952,"0,77",5672,"0,81",5379,"0,85",4738,"0,86",3746,"0,92",2842,"1,26",5449,
Morumbi,MOR,2018,"0,44",3474,"0,42",3204,"0,39",2747,"0,39",3129,"0,39",3435,"0,38",3543,"0,39",3918,"0,41",4175,"0,45",4118,"0,47",3836,"0,49",3599,"0,49",3250,"0,5",2784,"0,53",2295,"0,58",1785,"0,61",2622,
Parelheiros,PLH,2018,"1,61",12733,"1,54",11678,"1,56",11026,"1,65",13144,"1,62",14378,"1,41",13078,"1,2",12122,"1,15",11634,"1,19",10871,"1,22",9896,"1,15",8466,"1,03",6802,"0,94",5256,"0,83",3620,"0,74",2275,"0,49",2129,
Pari,PRI,2018,"0,19",1491,"0,18",1351,"0,15",1096,"0,15",1163,"0,14",1276,"0,16",1479,"0,17",1694,"0,15",1547,"0,15",1331,"0,15",1217,"0,15",1117,"0,15",987,"0,14",806,"0,15",654,"0,17",533,"0,23",1010,
Parque do Carmo,PQC,2018,"0,64",5046,"0,65",4938,"0,67",4770,"0,68",5399,"0,65",5796,"0,63",5865,"0,61",6212,"0,6",6080,"0,6",5494,"0,6",4875,"0,57",4231,"0,55",3608,"0,55",3057,"0,54",2346,"0,52",1590,"0,41",1780,
Pedreira,PDR,2018,"1,4",11088,"1,44",10946,"1,55",10974,"1,56",12440,"1,57",13933,"1,51",13978,"1,39",14043,"1,33",13392,"1,33",12222,"1,33",10852,"1,28",9423,"1,18",7774,"1,11",6236,"1,03",4448,"0,94",2894,"0,71",3045,3537107
Penha,PEN,2018,"0,94",7414,"0,95",7216,"0,94",6651,"0,93",7446,"0,96",8517,"1,03",9533,"1,06",10754,"1,05",10630,"1,05",9656,"1,1",8964,"1,19",8793,"1,26",8353,"1,3",7269,"1,36",5892,"1,46",4499,"1,71",7394,
Perdizes,PRD,2018,"0,65",5132,"0,68",5138,"0,68",4797,"0,61",4893,"0,61",5442,"0,77",7125,"0,97",9819,"1,09",10988,"1,07",9837,"1,01",8192,"1,06",7817,"1,21",7998,"1,37",7691,"1,53",6627,"1,6",4938,"1,83",7880,
Perus,PRS,2018,"0,91",7212,"0,88",6642,"0,86",6083,"0,89",7098,"0,89",7893,"0,83",7673,"0,73",7392,"0,68",6871,"0,71",6541,"0,74",6023,"0,71",5229,"0,63",4161,"0,57",3204,"0,53",2307,"0,49",1513,"0,38",1632,
Pinheiros,PIN,2018,"0,38",2986,"0,39",2963,"0,36",2556,"0,32",2527,"0,32",2796,"0,39",3590,"0,53",5379,"0,66",6651,"0,65",5920,"0,6",4907,"0,63",4638,"0,69",4590,"0,77",4297,"0,86",3716,"0,94",2901,"1,27",5465,
Pirituba,PIR,2018,"1,37",10848,"1,4",10597,"1,39",9844,"1,37",10942,"1,39",12319,"1,41",13096,"1,42",14408,"1,43",14471,"1,43",13086,"1,45",11831,"1,53",11322,"1,59",10505,"1,6",8968,"1,58",6860,"1,58",4871,"1,55",6676,
Ponte Rasa,PRA,2018,"0,69",5428,"0,71",5382,"0,73",5198,"0,75",5958,"0,76",6761,"0,76",7027,"0,76",7702,"0,74",7445,"0,72",6566,"0,75",6085,"0,81",5948,"0,86",5652,"0,88",4933,"0,87",3772,"0,89",2755,"0,9",3901,
Raposo Tavares,RTA,2018,"1,03",8129,"1,01",7654,"0,98",6925,"0,98",7780,"0,93",8242,"0,91",8419,"0,9",9060,"0,94",9454,"0,94",8650,"0,9",7341,"0,84",6215,"0,79",5247,"0,8",4467,"0,81",3507,"0,79",2432,"0,58",2524,
Republica,REP,2018,"0,44",3509,"0,42",3179,"0,33",2361,"0,29",2340,"0,32",2808,"0,46",4238,"0,65",6565,"0,68",6864,"0,63",5818,"0,61",4929,"0,59",4320,"0,57",3795,"0,58",3246,"0,59",2568,"0,61",1889,"0,62",2694,
Rio Pequeno,RPE,2018,"1,22",9600,"1,14",8660,1,7050,"0,98",7851,"0,96",8563,1,9281,"1,06",10687,"1,07",10836,"1,05",9665,"1,04",8491,"1,06",7788,"1,05",6929,"1,02",5737,"1,01",4358,1,3099,"0,97",4169,
Sacoma,SAC,2018,"2,05",16151,"2,12",16103,"2,21",15648,"2,17",17264,"2,16",19192,"2,23",20663,"2,27",23011,"2,31",23299,"2,28",20909,"2,26",18424,"2,28",16837,"2,29",15137,"2,24",12568,"2,18",9464,"2,15",6643,"2,19",9454,
Santa Cecilia,SCE,2018,"0,61",4805,"0,58",4428,"0,5",3558,"0,46",3694,"0,5",4420,"0,64",5982,"0,83",8364,"0,88",8884,"0,83",7641,"0,81",6574,"0,83",6096,"0,86",5665,"0,91",5082,"0,97",4185,"1,02",3158,"1,22",5284,
Santana,STA,2018,"0,76",5962,"0,74",5581,"0,67",4750,"0,67",5338,"0,73",6442,"0,84",7767,"0,95",9560,"0,96",9741,"0,94",8633,"0,97",7875,"1,08",7995,"1,24",8196,"1,36",7614,"1,44",6237,"1,48",4570,"1,84",7943,
Santo Amaro,SAM,2018,"0,45",3537,"0,48",3622,"0,48",3429,"0,46",3697,"0,46",4115,"0,49",4581,"0,53",5376,"0,6",6020,"0,66",6053,"0,69",5633,"0,73",5371,"0,79",5219,"0,84",4703,"0,93",4052,"1,06",3280,"1,26",5451,
Sao Domingos,DSO,2018,"0,66",5202,"0,69",5227,"0,72",5101,"0,71",5644,"0,71",6259,"0,71",6633,"0,72",7264,"0,72",7276,"0,72",6631,"0,75",6110,"0,78",5790,"0,79",5205,"0,78",4353,"0,79",3408,"0,83",2563,"0,8",3446,
Sao Lucas,SLU,2018,1,7876,"1,05",7967,"1,12",7940,"1,08",8641,"1,09",9700,"1,16",10767,"1,2",12095,"1,19",11986,"1,18",10825,"1,22",9898,"1,32",9769,"1,41",9340,"1,4",7831,"1,44",6250,"1,53",4714,"1,7",7355,
Sao Mateus,SMT,2018,"1,36",10766,"1,36",10321,"1,36",9610,"1,4",11177,"1,41",12532,"1,36",12633,"1,32",13366,"1,27",12849,"1,26",11520,"1,3",10581,"1,32",9753,"1,32",8698,"1,29",7202,"1,26",5448,"1,26",3880,"1,12",4853,
Sao Miguel,SMI,2018,"0,91",7147,"0,84",6407,"0,76",5353,"0,79",6281,"0,81",7203,"0,79",7326,"0,75",7541,"0,68",6894,"0,68",6229,"0,73",5932,"0,77",5661,"0,76",5009,"0,72",4057,"0,7",3016,"0,73",2253,"0,75",3243,
Sao Rafael,SRA,2018,"1,4",11049,"1,46",11065,"1,65",11669,"1,7",13518,"1,6",14236,"1,43",13269,"1,28",12905,"1,25",12639,"1,3",11968,"1,35",10988,"1,29",9510,"1,15",7580,"1,03",5795,"0,99",4306,"0,97",2998,"0,72",3121,
Sapopemba,SAP,2018,"2,54",20016,"2,55",19366,"2,61",18485,"2,66",21174,"2,66",23597,"2,61",24257,"2,5",25260,"2,36",23837,"2,31",21230,"2,37",19258,"2,42",17827,"2,42",15988,"2,37",13271,"2,32",10055,"2,26",6978,"1,9",8202,
Saude,SAU,2018,"0,81",6384,"0,84",6372,"0,79",5588,"0,72",5707,"0,72",6416,"0,86",7942,"1,07",10836,"1,25",12646,"1,26",11519,"1,22",9902,"1,29",9501,"1,44",9489,"1,59",8905,"1,69",7327,"1,81",5596,"2,23",9605,
Se,SEE,2018,"0,28",2213,"0,24",1797,"0,18",1261,"0,19",1512,"0,19",1719,"0,23",2134,"0,27",2686,"0,26",2619,"0,27",2440,"0,26",2135,"0,22",1612,"0,19",1246,"0,17",965,"0,16",681,"0,16",497,"0,15",637,
Socorro,SOC,2018,"0,25",1990,"0,25",1897,"0,24",1715,"0,25",1985,"0,25",2215,"0,27",2485,"0,29",2893,"0,3",3034,"0,31",2802,"0,32",2583,"0,34",2484,"0,37",2441,"0,39",2177,"0,43",1848,"0,48",1495,"0,54",2312,3552106
Tatuape,TAT,2018,"0,59",4660,"0,6",4544,"0,6",4258,"0,62",4919,"0,65",5755,"0,71",6570,"0,74",7484,"0,77",7805,"0,82",7476,"0,87",7116,"0,97",7158,"1,06",7014,"1,07",6013,"1,09",4729,"1,13",3489,"1,48",6374,
Tremembe,TRE,2018,"2,05",16162,"1,99",15081,"1,97",13966,"2,04",16292,"2,07",18404,"1,97",18322,"1,81",18338,"1,75",17673,"1,79",16431,"1,86",15103,"1,82",13451,"1,75",11558,"1,7",9498,"1,65",7140,"1,59",4901,"1,45",6254,883
Tucuruvi,TUC,2018,"0,62",4907,"0,63",4801,"0,63",4468,"0,63",4985,"0,66",5830,"0,75",6917,"0,81",8204,"0,82",8240,"0,8",7325,"0,81",6555,"0,88",6500,1,6609,"1,11",6219,"1,16",5050,"1,22",3767,"1,5",6479,
Vila Andrade,VAN,2018,"1,34",10558,"1,41",10664,"1,57",11140,"1,54",12291,"1,49",13205,"1,47",13657,"1,43",14510,"1,41",14256,"1,46",13376,"1,42",11541,"1,29",9523,"1,14",7508,"0,98",5485,"0,88",3833,"0,82",2536,"0,65",2821,
Vila Curuca,VCR,2018,"1,37",10793,"1,37",10409,"1,46",10358,"1,54",12300,"1,55",13795,"1,43",13309,"1,28",12989,"1,21",12268,"1,22",11213,"1,29",10467,"1,24",9182,"1,15",7623,"1,08",6073,"1,06",4604,"1,05",3246,"0,88",3802,
Vila Formosa,VFO,2018,"0,64",5034,"0,65",4942,"0,68",4792,"0,69",5533,"0,73",6446,"0,76",7032,"0,77",7746,"0,74",7504,"0,74",6785,"0,78",6362,"0,88",6497,"0,98",6499,"1,02",5730,"1,05",4544,"1,09",3378,"1,27",5483,
Vila Guilherme,VGL,2018,"0,47",3735,"0,46",3507,"0,42",2958,"0,41",3248,"0,4",3526,"0,41",3836,"0,45",4586,"0,48",4889,"0,49",4526,"0,48",3928,"0,49",3604,"0,53",3481,"0,56",3147,"0,58",2526,"0,62",1899,"0,74",3215,
Vila Jacui,VJA,2018,"1,17",9231,"1,24",9409,"1,42",10013,"1,43",11385,"1,44",12750,"1,38",12830,"1,29",13052,"1,21",12196,"1,18",10843,"1,2",9778,"1,21",8929,"1,18",7815,"1,12",6299,"1,03",4447,"0,93",2864,"0,74",3204,
Vila Leopoldina,VLE,2018,"0,3",2339,"0,33",2479,"0,33",2363,"0,3",2393,"0,3",2651,"0,32",2990,"0,36",3616,"0,42",4229,"0,48",4398,"0,46",3776,"0,43",3191,"0,42",2803,"0,39",2191,"0,38",1648,"0,38",1174,"0,45",1958,
Vila Maria,VMR,2018,"1,05",8276,"1,03",7783,"0,98",6908,"0,96",7691,"0,96",8488,"0,99",9178,"1,01",10226,"0,97",9850,"0,93",8495,"0,91",7436,"0,92",6784,"0,93",6124,"0,92",5168,"0,92",3973,"0,93",2885,"1,06",4570,
Vila Mariana,VMN,2018,"0,77",6094,"0,76",5769,"0,69",4889,"0,63",4990,"0,66",5883,"0,88",8178,"1,17",11875,"1,32",13286,"1,22",11204,"1,13",9209,"1,21",8922,"1,41",9297,"1,61",9010,"1,8",7817,"1,89",5828,"2,26",9765,
Vila Matilde,VMT,2018,"0,75",5958,"0,78",5935,"0,81",5732,"0,81",6438,"0,83",7375,"0,86",8015,"0,87",8782,"0,86",8695,"0,87",8002,"0,9",7352,"0,96",7093,"1,01",6704,"1,05",5897,"1,08",4698,"1,13",3472,"1,24",5374,
Vila Medeiros,VMD,2018,"1,04",8219,"1,04",7881,1,7087,"0,99",7882,"1,01",8957,"1,05",9748,"1,07",10848,"1,02",10280,"0,97",8914,"0,98",8001,"1,04",7677,"1,12",7412,"1,18",6593,"1,19",5149,"1,25",3856,"1,39",5996,
Vila Prudente,VPR,2018,"0,72",5689,"0,74",5648,"0,75",5286,"0,72",5752,"0,75",6664,"0,83",7666,"0,89",8975,"0,89",9026,"0,88",8078,"0,88",7192,"0,96",7084,"1,05",6943,"1,09",6096,"1,13",4880,"1,2",3693,"1,38",5977,
Vila Sonia,VSO,2018,"1,01",7978,"1,01",7625,"0,96",6788,"0,93",7405,"0,93",8263,"0,99",9167,"1,02",10347,"1,05",10630,"1,06",9695,"1,03",8416,"1,02",7496,"1,01",6696,"1,04",5837,"1,09",4708,"1,12",3456,"1,12",4847,
